t,method,metric,value
14000,sketch_fd,subspace_error,0.940336046040304
14500,sketch_fd,subspace_error,0.9402866650546823
15000,sketch_fd,subspace_error,0.9404045163632659
15500,sketch_fd,subspace_error,0.9404682805815462
16000,sketch_fd,subspace_error,0.9405288039890978
16500,sketch_fd,subspace_error,0.9405073506114394
17000,sketch_fd,subspace_error,0.9404962879934844
17500,sketch_fd,subspace_error,0.9404241198877168
18000,sketch_fd,subspace_error,0.9405018779829046
18500,sketch_fd,subspace_error,0.9404595040050368
19000,sketch_fd,subspace_error,0.9404702806341385
19500,sketch_fd,subspace_error,0.9403602136423188
20000,sketch_fd,subspace_error,0.9401747486698093
500,sketch_fd,explained_variance,0.08515703732657456
1000,sketch_fd,explained_variance,0.08611648758424974
1500,sketch_fd,explained_variance,0.08502296719614862
2000,sketch_fd,explained_variance,0.08405203731745332
2500,sketch_fd,explained_variance,0.08418248353152558
